row_index,actual,fitted,residual
0,494.666,503.10602,-8.440018066406253
1,383.079,340.7033,42.37569189453126
2,244.384,274.67993,-30.295931640625014
3,351.575,431.80652,-80.23151855468751
4,540.085,491.36246,48.72254272460941
5,359.251,357.51392,1.7370839843749764
6,331.553,314.57208,16.980917480468747
7,237.352,224.79001,12.561991455078129
8,522.37,500.3782,21.99179565429688
9,314.569,294.28162,20.287383789062517
10,236.674,246.96346,-10.289455200195306
11,295.011,271.99353,23.017469726562524
12,452.888,430.62585,22.262145507812477
13,333.614,372.0036,-38.389601074218774
14,362.784,356.72232,6.061679443359367
15,472.547,479.31454,-6.7675446777343495
16,231.791,262.75415,-30.963150390625003
17,331.027,326.7459,4.281089355468737
18,319.064,293.86438,25.19962011718752
19,251.522,278.91837,-27.396365478515634
20,369.841,400.2988,-30.457797607421867
21,316.871,327.1327,-10.261690429687519
22,368.133,341.9675,26.165501220703106
23,237.449,257.456,-20.006993652343738
24,437.653,430.61993,7.03306591796877
25,365.837,381.2418,-15.404790771484386
26,308.859,302.7025,6.1564853515624804
27,368.838,392.05008,-23.212079345703103
28,330.975,337.60822,-6.633215332031227
29,302.033,322.57333,-20.54033374023436
30,192.327,208.01271,-15.685710571289064
31,354.543,324.49457,30.048432128906256
32,528.619,534.399,-5.779986816406222
33,133.048,128.62587,4.422130249023439
34,160.064,210.53427,-50.47027124023438
35,240.207,264.3167,-24.109711425781256
36,222.522,267.1166,-44.594607666015634
37,493.864,519.88873,-26.024732910156274
38,347.959,340.27475,7.684250244140628
39,321.065,298.77133,22.293668212890623
40,512.399,489.83258,22.56641943359375
41,292.094,262.73813,29.35587133789062
42,290.49,301.7489,-11.258901367187491
43,366.327,345.8753,20.451694824218748
44,383.504,388.6274,-5.123410888671856
45,244.551,247.88533,-3.334330200195325
46,452.189,427.60114,24.58786474609377
47,538.021,502.58994,35.43106469726558
48,273.504,273.9095,-0.4054848632812309
49,481.042,489.3642,-8.322196777343777
50,693.382,638.3705,55.01151660156245
51,515.846,534.91626,-19.070259765624996
52,246.515,266.43433,-19.919326171875014
53,296.761,304.9091,-8.148088134765601
54,429.049,459.137,-30.087993408203147
55,283.539,285.2665,-1.7275100097656377
56,389.856,424.5969,-34.74089331054688
57,300.151,298.3119,1.8391103515625105
58,268.614,266.43433,2.179673828124976
59,234.039,261.2809,-27.241914306640638
60,427.584,414.3169,13.267105468750003
61,309.279,304.74692,4.532082275390621
62,317.619,315.91766,1.7013364257812782
63,387.661,429.17944,-41.518443359375
64,684.476,676.5987,7.877306152343749
65,443.636,432.35077,11.285230957031274
66,336.651,374.1684,-37.51739599609374
67,562.014,526.5795,35.43447119140626
68,472.514,462.6059,9.90810400390626
69,481.732,467.2173,14.514714843750028
70,385.195,365.83286,19.362144775390618
71,456.1,457.7431,-1.6431030273437273
72,354.919,342.46042,12.458581298828108
73,391.098,367.4339,23.664101074218763
74,227.396,263.72018,-36.32418432617189
75,478.849,507.12817,-28.27917382812501
76,460.586,456.95312,3.6328750000000127
77,275.759,305.34164,-29.58264428710936
78,375.612,366.08237,9.529633056640648
79,400.908,511.58905,-110.68105029296873
80,316.234,320.01367,-3.7796718750000196
81,605.271,543.9077,61.36328515624996
82,359.388,331.03262,28.355376708984352
83,433.596,469.0928,-35.49680395507812
84,449.319,424.5969,24.722106689453142
85,270.692,292.10724,-21.415238769531243
86,352.697,359.04016,-6.343161132812497
87,435.447,489.45547,-54.00847485351562
88,474.13,436.8978,37.23220336914062
89,678.555,676.5987,1.9563061523437
90,288.704,278.61554,10.088460449218758
91,358.993,354.12152,4.871479003906245
92,423.841,429.94354,-6.102542480468742
93,297.073,238.54253,58.53047375488279
94,320.296,313.48956,6.806437011718742
95,549.954,529.6762,20.2777915039062
96,279.435,328.2728,-48.83779663085937
