source_row_index,actual_distressed,no_balancing,moderate_smote_ratio_0.5,sigmoid_calibration_k2,sigmoid_calibration_k3,sigmoid_calibration_k4,sigmoid_calibration_k5,sigmoid_calibration_k6,sigmoid_calibration_k8,sigmoid_calibration_k10
0,0,0.0,0.0,0.1249929129025226,0.13330760662577196,0.10356205141140262,0.10841492725555386,0.1181957185022399,0.11378027293352222,0.12228198807771429
1,0,0.27994404503025194,0.38240593248329346,0.19681673328510665,0.176381739106554,0.1666913269251175,0.18696539730887843,0.21032799725194015,0.21681493498769472,0.20872465070838234
2,0,0.3926314338488683,0.4050374433995124,0.2706045094685965,0.2393059316183014,0.22900946475799638,0.20466482946842973,0.19650108651381118,0.22941395408761017,0.2058190255501092
3,1,0.3001028284877169,0.3664532019704433,0.16846782461571133,0.21237971673162045,0.21955660824504353,0.23950465730241532,0.21904168973433918,0.2676042519898906,0.24890487704587785
4,0,0.0,0.024657534246575342,0.12100547372275756,0.12791456470622461,0.11480418605037265,0.12396511612340984,0.12775993366758956,0.12060126137927152,0.13572659391817493
5,0,0.08101738101738101,0.13982993197278912,0.13103503018008694,0.12136206986727413,0.12755143757757376,0.13607171425448114,0.13204935376703686,0.1328237089189137,0.13914583669293443
6,0,0.03225806451612903,0.2323479798960288,0.09829708919701395,0.10407337453953736,0.10254134945740623,0.0986403382986051,0.11657041722621937,0.1201531844958442,0.13698832249928664
7,0,0.09325593395252837,0.16838444213444212,0.13335244476557107,0.14926712554759783,0.14928322944437772,0.174990358967562,0.16460694129206715,0.15376718965490618,0.1692830022038867
8,0,0.3005907928388747,0.1325227027859012,0.22318648665022395,0.20176340141358642,0.21319244380034758,0.22460998423898176,0.1876196456026886,0.2006534360359488,0.1983639760987741
9,0,0.04444444444444444,0.10628803245436105,0.11974482578977375,0.14138319977265806,0.1381340471725859,0.14593991447316618,0.13402837069880585,0.12483813797904805,0.14611616444804448
10,0,0.2523245614035088,0.17380319148936169,0.12746970731070706,0.17363474223712264,0.2289169348609303,0.166874916860477,0.1919613646691467,0.1910336099853196,0.18853370120549323
11,0,0.19734980399096727,0.24488374188896897,0.13966155888805903,0.15004571039772735,0.15070916144180488,0.13752795202266738,0.15119813898559656,0.1596527318361358,0.16658868705927488
12,0,0.0,0.13975538730343623,0.11890173938512696,0.1215360202526252,0.10299207064574015,0.10616953003678156,0.10496055509550566,0.10950723710420866,0.11683198525154023
13,0,0.0,0.08,0.10193147532106242,0.11194282664079772,0.10701403783407226,0.10907575896565751,0.116297336803449,0.1167573856217357,0.12141882994184516
14,0,0.0,0.0,0.1235181006946466,0.13289036275843014,0.12394045879042077,0.10755297274932633,0.11533031966842533,0.117909240990105,0.12031261168340354
15,0,0.1816338028169014,0.008333333333333333,0.11229675890346184,0.12876646004808406,0.1321560751073521,0.12064406733963384,0.12780634831151527,0.13740357712374096,0.14013234349425388
16,1,0.18377769289533993,0.5371406760880445,0.28203107190458737,0.2000625212113353,0.18845791288846234,0.21568651772064618,0.16843827996830102,0.19548190119625267,0.1961398031414941
17,0,0.0,0.0,0.11167190868214641,0.12248461847058496,0.09930004055747332,0.09941940287027257,0.10267792020901487,0.09965027057335879,0.11168425274355784
18,0,0.15065725603658536,0.3091878402903811,0.11435314120872461,0.15530400926987703,0.13420663008181405,0.1295372011388179,0.13987476070967192,0.14742577601638104,0.15549944541956093
19,0,0.3927272727272727,0.46904761904761905,0.20386576065187487,0.23244841547938777,0.2580245137812677,0.22971072312244906,0.24444063668688068,0.24328284697113728,0.23057883186956576
20,0,0.07966139544815913,0.34804883034076706,0.1705075199703326,0.1322287957484037,0.1475731019508036,0.13391171207861474,0.14303789176848508,0.13816758702413318,0.13509864175902514
21,0,0.14521785666018625,0.20782894736842103,0.17773664139316894,0.15187501186418842,0.15139830861828066,0.15530468803860523,0.15896936436219897,0.15800140004068028,0.1578244713770164
22,0,0.04878048780487805,0.08571428571428572,0.12424455387147933,0.14944040795356853,0.14032022221934537,0.12785760013583897,0.13417812195480722,0.1394122104802078,0.14549279952870103
23,0,0.12768195013770237,0.24860637446844341,0.12138281704395208,0.1390158317352161,0.1397854271354521,0.1573077811339494,0.1447936962938793,0.16225696606396814,0.1493136565503302
24,0,0.4399705275567345,0.5211676877287895,0.2015933371788677,0.2267423935876066,0.32670800591994,0.3139983527274374,0.293422070708962,0.30483786312657923,0.2724854731957609
25,0,0.12552606558449808,0.37362455641446807,0.1455648476937043,0.14960517334672502,0.15715313438265296,0.16324440415866473,0.15375430445483124,0.1519218147945147,0.15635453180696612
26,0,0.13060108680683902,0.2048981808308444,0.14361741212253915,0.148715127909031,0.15441808647378635,0.13830574284107908,0.1429177589823814,0.15619932431927303,0.14593819614749287
27,0,0.0,0.03133153131977905,0.14768010838166065,0.11447102788843048,0.14259667386975355,0.11654301581090112,0.129186773808245,0.12044013555035957,0.1341480390227749
28,0,0.04,0.0,0.11875906762773991,0.11318394616007461,0.14352045629947513,0.1306529382726543,0.1347846340827158,0.1357457729976877,0.14097889283122728
29,0,0.16620403168619297,0.44621952106271257,0.17036032496464673,0.15478825934556872,0.19270080423610472,0.15558237530676722,0.1542667711242064,0.16163085834862945,0.16710065449084324
30,0,0.09714285714285714,0.21646520146520146,0.24799041325586915,0.20761375886864694,0.20917993400734977,0.2112669259584663,0.1850616748488897,0.19673302046571087,0.16160409092713124
31,0,0.1794101591311438,0.20089738711314054,0.16817872839229767,0.1433874467906882,0.15187532616412977,0.15786276140425398,0.15807928625173498,0.1572582505102787,0.17449550508520234
32,0,0.0,0.09259259259259259,0.13855001045995216,0.1284439973001186,0.11789486640411533,0.11300318817229442,0.12633702467737748,0.11647219785907703,0.1220989505816196
33,1,0.8705882352941178,0.8271251684095722,0.36751930084987106,0.3401744543928168,0.4354728707283943,0.4867568958738559,0.4892504218049991,0.4643034613136522,0.3733912632250277
34,0,0.2487660092627264,0.22547733626451824,0.15774421490262577,0.14598512546795356,0.16152197679916389,0.16597054232145086,0.1471069754062844,0.1660835961515305,0.16422145849569056
35,0,0.22057545376082124,0.32426929392446635,0.18786939439240585,0.16900136439769137,0.15642488955174866,0.15921597204702603,0.17504778654192643,0.18201747705552285,0.17251121772842573
36,0,0.20169276614088522,0.5046285450145038,0.227081273691361,0.17239559619370176,0.2315479392123209,0.20328352773530556,0.1633760344479956,0.19787696929390924,0.22531026605337204
37,0,0.05,0.04,0.11658238037523598,0.12396457779756569,0.14284711737373232,0.11843005312111628,0.13410120277678877,0.13143561243922558,0.1393303287305719
38,0,0.33249260901699923,0.2918135821580094,0.13648510456952428,0.15099352465973218,0.16358775788004593,0.19823105662737253,0.184802940216069,0.1962323482511234,0.20910543372583962
39,0,0.20898791712258918,0.26841374269005847,0.18137092359052148,0.1546012702499602,0.16845804695276503,0.1664756755483247,0.18644298109090213,0.1714102670290032,0.18107666971098801
40,0,0.11333333333333333,0.0,0.11900763448094498,0.134336173334829,0.1349656934556936,0.12458842900899074,0.1269062106422817,0.12457395650878604,0.13253997320879904
41,1,0.17913287673000894,0.21473544973544975,0.194391276475842,0.1906169516840794,0.14268334463338883,0.1456173089672431,0.1614166736458566,0.15654801145372993,0.16800098541730202
42,0,0.3618162728227225,0.3109730698458423,0.18927043417161693,0.16689719243484313,0.2199787441785098,0.21392647366689682,0.20073415843235728,0.21877157705122632,0.17993143537229325
43,0,0.2245165412363182,0.5004138858929357,0.19876122517329084,0.16858748375848812,0.17385659832264103,0.15742074582008142,0.16307033821587552,0.16101396022790213,0.17578069389640952
44,0,0.0,0.0,0.10802125961023054,0.11492064749216332,0.11978296064403471,0.10394204204823136,0.11822099963683655,0.1187634860383707,0.1237980785405208
45,1,0.21810910403242084,0.25764367816091954,0.1689235381501127,0.16741075574929287,0.16257218113520397,0.1591491889215099,0.16538749422368457,0.15420713435020336,0.16579410169170222
46,0,0.35673523343908736,0.4455570199317056,0.20181375057255155,0.20079383120207148,0.21472328316004866,0.23749720402031455,0.20336221626292775,0.2648605888405397,0.2528413707117739
47,0,0.0,0.0,0.09951877384958153,0.1020941164097047,0.0905852226660195,0.0952091435225623,0.10550746792038238,0.10598378805819537,0.11644365634809102
48,0,0.13714285714285715,0.1288011088011088,0.14823965461844496,0.13144315719741778,0.16924446012939928,0.15151331137756702,0.1492030708065637,0.15158274422782997,0.16625257222461126
49,0,0.3183930621646258,0.3663137254901961,0.18252512314647168,0.16443072755483817,0.1770233003920373,0.21453053494236668,0.17733269249191894,0.18796850755140673,0.20486798829429914
50,0,0.0,0.0,0.12513552205124498,0.13311460674479836,0.11620953532729354,0.10350849697189726,0.12425117756561344,0.1096454213865139,0.12257385859449013
51,0,0.0,0.21873015873015872,0.12755732664208774,0.15140083797066317,0.12779573248444787,0.12067531841307313,0.1396575928143428,0.1341091518098693,0.12968574741665312
52,0,0.21440059707237258,0.21302796434771382,0.17352087329270827,0.15434138766929628,0.16138231672105344,0.16037675354563463,0.1494842778500452,0.17254138809074787,0.1858707403008662
53,0,0.12726996238823318,0.1663732346085287,0.14000241468677965,0.13951136468285447,0.1482662322566764,0.12573648156506606,0.13737161765316913,0.15097875624633889,0.15271154647112634
54,0,0.0,0.0,0.12306361791015656,0.11182572146370447,0.11027558245485733,0.10561601658303324,0.1166508681831396,0.1122153212182373,0.12334428239424985
55,0,0.10866113496188061,0.08467775169769401,0.12229683055657206,0.12943539268483814,0.12879691151237835,0.13123913409636076,0.12725840637946997,0.14078703794736375,0.1372044090683728
56,0,0.0,0.12,0.14046083481256993,0.12735585940837424,0.10729671697690309,0.11259581942695891,0.11561976237076868,0.11200489549875751,0.11735731440464106
57,0,0.05,0.05886116257526632,0.1664110578789648,0.1274263342474458,0.15932144721538263,0.15639678140675004,0.13879514412402563,0.14275237146116274,0.14242630034081027
58,0,0.18841121563419216,0.2928997414063853,0.16709479850371825,0.13968206902444386,0.1514970515829405,0.15964684737518686,0.1718436030229072,0.17521187177201086,0.17710408675954334
