source_row_index,actual_distressed,smote_ratio_0.2_k2,smote_ratio_0.2_k3,smote_ratio_0.2_k4,smote_ratio_0.3_k2,smote_ratio_0.3_k3,smote_ratio_0.3_k4,smote_ratio_0.4_k2,smote_ratio_0.4_k3,smote_ratio_0.4_k4
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,0.19916777815197612,0.19713404799324596,0.2083738592330572,0.24343586628399266,0.3362663526949241,0.2582112059879424,0.47395787005673506,0.45036336223987306,0.336194344771208
2,0,0.4869554204660588,0.474098277608916,0.474098277608916,0.3012409812409812,0.441112012987013,0.40539682539682537,0.2491841491841492,0.4382575757575758,0.5651449275362318
3,1,0.26322754988913527,0.26119381973040506,0.29450099450099454,0.4201982331394095,0.2664313725490196,0.3924457403651116,0.19594164456233423,0.37802955665024635,0.39893491308623286
4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.010810810810810811,0.023076923076923078,0.049019607843137254
5,0,0.05814684903278329,0.05814684903278329,0.0856697848125998,0.08059380378657487,0.06472847540808706,0.11490591610013116,0.1281046890205077,0.19373493975903613,0.04677614998334496
6,0,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.16296296296296295,0.16296296296296295,0.0,0.20309677419354838,0.17142857142857143,0.25
7,0,0.11440129449838188,0.11440129449838188,0.1158119658119658,0.2782351239341463,0.21151157407407406,0.17891358756774053,0.27434363553113555,0.17744200311878738,0.1438077688077688
8,0,0.2800046764370799,0.267568167604753,0.3404291819291819,0.2401568252619654,0.24291887951681765,0.1205125734656518,0.1512870012870013,0.2908964719491035,0.2037937855554593
9,0,0.04444444444444444,0.04444444444444444,0.04444444444444444,0.19681318681318682,0.12549019607843137,0.06,0.135811209439528,0.1430976430976431,0.07037037037037037
10,0,0.2795744229280237,0.2795744229280237,0.2795744229280237,0.33078414354198943,0.14698959455709015,0.11404277013067161,0.2521458333333334,0.14074856439704678,0.04740740740740741
11,0,0.18712643469100856,0.18712643469100856,0.13912643469100855,0.2477341212246873,0.26375971006959487,0.2916902567478604,0.1127788794506763,0.2350850100411453,0.33311816219394025
12,0,0.0,0.0,0.0,0.0,0.0,0.05952380952380952,0.016,0.0,0.13561827956989247
13,0,0.04,0.04,0.04,0.0,0.04,0.04,0.04,0.0,0.04
14,0,0.0,0.0,0.0,0.0,0.0,0.05952380952380952,0.015384615384615385,0.0,0.07311827956989247
15,0,0.021633802816901408,0.005633802816901409,0.07877665995975855,0.005633802816901409,0.014205231388329981,0.029861386138613867,0.012121212121212121,0.02546558704453441,0.03322800571545213
16,1,0.17930325528269558,0.18130051930458344,0.20004620004620005,0.4237634471804138,0.3718545671326634,0.35025687056549903,0.4852998015873015,0.535310226167707,0.3882800751879699
17,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0,0.1417294847908923,0.14372674881278016,0.10113909622106343,0.231796721141634,0.17133300605465557,0.18396414069503772,0.17788608900677866,0.10914874099338472,0.21604439843570278
19,0,0.44330357142857135,0.4412698412698412,0.4056628056628056,0.6019536019536019,0.48969696969696963,0.4163222858701582,0.48256410256410254,0.47444947209653093,0.3755234566206912
20,0,0.1108742328470395,0.1108742328470395,0.1108742328470395,0.08987053823026295,0.051670159594304564,0.12815523625533284,0.15832203195035052,0.08333933052179301,0.19336908348449358
21,0,0.17063694471263338,0.17063694471263338,0.17063694471263338,0.2008067246531297,0.20003602407125678,0.2726957207143993,0.266160278846115,0.13637467795362532,0.24234337376766163
22,0,0.06,0.047368421052631574,0.06,0.06486486486486487,0.06842105263157895,0.16,0.0,0.0,0.08571428571428572
23,0,0.11873467609782407,0.11873467609782407,0.1337621261427182,0.16097883597883597,0.2462968994475844,0.2940822573801297,0.19203796203796203,0.2271532979510417,0.21975207347367723
24,0,0.4812650602146479,0.4636919843441583,0.4774680274680275,0.48091048887462556,0.4574756075110457,0.5004757498225952,0.535056146572104,0.44590992838406124,0.5110479645151377
25,0,0.1337765073215635,0.1357737713434513,0.13977544743815065,0.24922252923517535,0.17947170234016013,0.13304723827864512,0.2099007215007215,0.27082129901881,0.12852753727753727
26,0,0.12826186597818282,0.12826186597818282,0.13461107232738917,0.062238583013230896,0.08067790101786798,0.13672676444372417,0.295018115942029,0.1701158808537751,0.10971457677830518
27,0,0.006318407960199004,0.006318407960199004,0.03312056737588652,0.04221693799158588,0.0974345039308013,0.09052154195011339,0.09974025974025974,0.1594840387829101,0.10795783926218708
28,0,0.04,0.04,0.04,0.04,0.04,0.13952380952380952,0.0,0.0,0.07311827956989247
29,0,0.19025018705754934,0.19025018705754934,0.19025018705754934,0.20703719709448448,0.28771267876542295,0.27765410428085996,0.3358017151326934,0.17052598074805908,0.3455732974622169
30,0,0.12214285714285715,0.12214285714285715,0.12214285714285715,0.13074534161490683,0.22303030303030305,0.1458628841607565,0.16488294314381272,0.31256302521008406,0.24296610169491525
31,0,0.16453304105004327,0.15190146210267483,0.1659437123636272,0.29728188132468325,0.28303178591626504,0.2655253575545097,0.27084959201071734,0.3084068727698153,0.2130952380952381
32,0,0.0,0.0,0.0,0.0,0.0,0.008888888888888889,0.04,0.11990369181380416,0.0683647621728117
33,1,0.873076923076923,0.8560000000000001,0.8705882352941178,0.876923076923077,0.8623853211009175,0.6478505022774069,0.7748705882352941,0.9199999999999999,0.7030591009988901
34,0,0.17060216085286312,0.24435876273553192,0.18204464935654707,0.13061587535271746,0.18727272727272729,0.1800152178896162,0.13346431062543593,0.3561041801077286,0.33590487508686623
35,0,0.21802715621896035,0.20294749716392513,0.22153740855274212,0.19961337148440225,0.23764996907854047,0.3379013667890657,0.2990393955747436,0.29843609022556394,0.40748895368060356
36,0,0.23306976681489947,0.22043818786753105,0.22057428107997712,0.2302363983014324,0.3596657329598506,0.31091554634690416,0.2976045023535106,0.4055343417827224,0.45476970925283344
37,0,0.09,0.09,0.09,0.13,0.08,0.13,0.0,0.12,0.04
38,0,0.25268759817574615,0.23802228906964756,0.21866856279227415,0.32264965270472745,0.1957142857142857,0.2526607205351188,0.24251218062982768,0.22214196762141966,0.30055821371610847
39,0,0.2482151746656423,0.24928428138634473,0.22002645212851552,0.376007326007326,0.30303030303030304,0.2565661190412066,0.34449197860962566,0.25813267813267815,0.2823750976982156
40,0,0.04843517138599106,0.08357503152585119,0.08357503152585119,0.15136494252873564,0.14179222839016653,0.08784070046603587,0.14558629776021081,0.10232558139534884,0.1482961222091657
41,1,0.09997040018943879,0.09997040018943879,0.10138107150302271,0.16557349192863213,0.19460157126823793,0.23185860216723073,0.21663003663003666,0.318708886618999,0.19655388471177945
42,0,0.24058223754707347,0.24146850298442252,0.44146850298442253,0.20906593406593407,0.2829464883287513,0.26743575573362804,0.33373596837944663,0.22530957414678343,0.3066095642120939
43,0,0.2522840456276951,0.235207122550772,0.24695664816747026,0.3182865823315261,0.3149973357286992,0.3521773227214625,0.41145560719863167,0.44354728066937366,0.5059875336897612
44,0,0.0,0.0,0.0,0.004081632653061224,0.004347826086956522,0.0,0.0,0.0,0.0
45,1,0.16678886687083408,0.149711943793911,0.16430017908802866,0.19416070820565204,0.25406444745276363,0.22812621254132007,0.22779684818224372,0.18198945639961975,0.23160462252533862
46,0,0.34546360685933997,0.34546360685933997,0.4032845345831804,0.4174036437587839,0.39222222222222225,0.4384204766810268,0.4530257800794737,0.4626607893674134,0.38366042103155507
47,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,0,0.195968992248062,0.195968992248062,0.195968992248062,0.18666666666666668,0.2444444444444444,0.1933333333333333,0.1940952380952381,0.18009433962264149,0.2038328314644104
49,0,0.38128715575693306,0.38128715575693306,0.3062259049510014,0.44733756974404093,0.2424097400513479,0.14853074612259545,0.32938375350140053,0.3091762209984653,0.17339712918660286
50,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,0,0.0,0.0,0.0,0.217032967032967,0.143030303030303,0.29811507936507936,0.1618181818181818,0.1903896103896104,0.2861898335582546
52,0,0.21872198198524254,0.21872198198524254,0.21872198198524254,0.3631683150311442,0.3292835595776772,0.3073829483473479,0.40316755212166855,0.20709764309764309,0.2430268577147669
53,0,0.17185395914352145,0.17185395914352145,0.17185395914352145,0.20357906852473523,0.20029590963210456,0.22858277900960827,0.23005309804737406,0.12657515708614328,0.19790167416291854
54,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,0,0.05940514846797055,0.05940514846797055,0.087617979197242,0.1561355244106053,0.1594144665975652,0.184956608811749,0.24476075722202778,0.1675283856378842,0.2239730349971314
56,0,0.0,0.0,0.0,0.004081632653061224,0.004347826086956522,0.12,0.0,0.0,0.0
57,0,0.09333333333333334,0.14933333333333337,0.09333333333333334,0.22564171546130715,0.18247667825132613,0.17888888888888888,0.11087121212121213,0.11042743500932517,0.011594202898550725
58,0,0.24728243297112149,0.2452487028123913,0.20964166720535574,0.2916964487582752,0.25373361844737896,0.20074750830564786,0.3108621137849079,0.25108719851577,0.23397467745569012
59,1,0.19025089605734766,0.19569444444444445,0.11672008547008547,0.23787729410985223,0.24063603933476224,0.22097233710136938,0.0824778761061947,0.2586531986531987,0.3133979997162718
60,0,0.09194235349338524,0.09194235349338524,0.09194235349338524,0.1117816091954023,0.09230769230769231,0.21613394216133938,0.11515151515151516,0.10232558139534884,0.19982930298719773
61,0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.015384615384615385,0.0,0.0
62,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,1,0.03544462155243201,0.03544462155243201,0.06224678096811953,0.04221693799158588,0.08168559433524222,0.04814710042432815,0.09974025974025974,0.18356556711975755,0.11359164207908848
64,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,1,0.2473974866858617,0.2349609778535348,0.2349609778535348,0.3019348694961781,0.34628202430853394,0.25875282876540107,0.3494402242108664,0.2911167901865576,0.4292985266771354
66,0,0.09420361297303795,0.09620087699492577,0.10020255308962514,0.27065888837389035,0.29865967365967366,0.2765155439962601,0.3130538317572892,0.400487987987988,0.2019922665437862
67,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,0,0.14622496147919878,0.14622496147919878,0.14622496147919878,0.2068025949953661,0.23391705069124424,0.18514905149051492,0.3201596180319584,0.19053724053724053,0.22170014521158382
69,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.2
71,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
